timestamp,value
1640429969115,46
1640435198000,52
1640439145000,44
1640451597000,67
1640453417000,51
1640455545000,56
1640460407000,68
1640462540000,63
1640464357000,61
1640466179000,70
1640470431000,60
1640472253000,56
1640474073000,63
1640475897000,62
1640479237000,56
1640481969000,55
1640483791000,55
1640485614000,61
1640487436000,45
1640489258000,47
1640491080000,53
1640492903000,47
1640494725000,59
1640496547000,47
1640498369000,51
1640500192000,56
1640502013000,49
1640503836000,51
1640505658000,49
1640507479000,49
1640509301000,47
1640511428000,55
1640513251000,61
1640515074000,59
1640516896000,54
1640518719000,48
1640520844000,61
1640523029000,63
1640524851000,59
1640528195000,66
1640530017000,60
1640531840000,51
1640534571000,38
1640537305000,59
1640539128000,59
1640541252000,62
1640543074000,64
1640544896000,69
1640547025000,62
1640553407000,69
1640555530000,62
1640557353000,64
1640559179000,62
1640563430000,58
1640565252000,73
1640567073000,71
1640568895000,47
1640570717000,56
1640572539000,47
1640574361000,52
1640576184000,49
1640578006000,43
1640579829000,44
1640581651000,39
1640583473000,54
1640585296000,46
1640587118000,40
1640588940000,37
1640590763000,55
1640592585000,28
1640594407000,45
1640596532000,53
1640598658000,63
1640603820000,77
1640615056000,74
1640617485000,35
1640619305000,23
1640627200000,64
1640629326000,69
1640632362000,77
1640635399000,64
1640638131000,73
1640648156000,57
1640649976000,50
1640651801000,64
1640653621000,56
1640655443000,43
1640657265000,55
1640659088000,48
1640660910000,49
1640662732000,45
1640664554000,54
1640666377000,32
1640668199000,39
1640670021000,38
1640671843000,40
1640673666000,47
1640675488000,38
1640677310000,47
1640679132000,32
1640681014000,54
1640683139000,55
1640684964000,60
1640691040000,65
1640692862000,65
1640694681000,54
1640709869000,65
1640711692000,75
1640713514000,69
1640715335000,65
1640718131000,35
1640719955000,72
1640721777000,50
1640723597000,61
1640725419000,70
1640727249000,64
1640729064000,60
1640730894000,63
1640732709000,54
1640734532000,62
1640736355000,63
1640738481000,57
1640740301000,50
1640742124000,36
1640743947000,36
1640745769000,38
1640747591000,49
1640749414000,45
1640751236000,35
1640753058000,31
1640754881000,39
1640756703000,49
1640758525000,44
1640760348000,41
1640762231000,38
1640764053000,44
1640765874000,37
1640767697000,44
1640769524000,57
1640772860000,54
1640776200000,65
1640778327000,54
1640780148000,51
1640781973000,46
1640797462000,44
1640799887000,65
1640802016000,74
1640803839000,66
1640805662000,71
1640808092000,68
1640810223000,70
1640812951000,54
1640814775000,65
1640816597000,61
1640818418000,63
1640821757000,49
1640826314000,46
1640828134000,42
1640829956000,45
1640831778000,36
1640833600000,44
1640835423000,39
1640837245000,50
1640839067000,48
1640840890000,44
1640842712000,49
1640844535000,41
1640846357000,50
1640848179000,46
1640850001000,54
1640852433000,53
1640854253000,52
1640856077000,56
1640857900000,62
1640870960000,63
1640873389000,62
1640876730000,60
1640883107000,67
1640886445000,61
1640889789000,63
1640891612000,65
1640893735000,74
1640895558000,65
1640897383000,67
1640900120000,70
1640902849000,57
1640904669000,56
1640910747000,50
1640913177000,52
1640914997000,42
1640916819000,49
1640918641000,44
1640920464000,43
1640922286000,30
1640924108000,40
1640925930000,33
1640927753000,26
1640929574000,33
1640931397000,46
1640933219000,41
1640935041000,39
1640936864000,47
1640938688000,41
1640940507000,70
1640942332000,62
1640945369000,71
1640947192000,75
1640952050000,77
1640956301000,66
1640958124000,73
1640961465000,73
1640966325000,71
1640968147000,72
1640969969000,67
1640971791000,76
1640980294000,77
1640982724000,66
1640986672000,73
1640996694000,72
1640998517000,40
1641000337000,70
1641002463000,61
1641004285000,59
1641006108000,57
1641007930000,48
1641009752000,48
1641011574000,54
1641013397000,45
1641015219000,48
1641017041000,53
1641018864000,48
1641020686000,47
1641022508000,54
1641024331000,50
1641026153000,50
1641027973000,45
1641029795000,51
1641031617000,49
